# SPDX-FileCopyrightText: 2026 Huang Rui <vowstar@gmail.com>
# SPDX-License-Identifier: MIT
# Chimera decode-dispatch golden table (decoder-equivalence reference).
# Generated from isa/h8300_base_cases.yaml mask/match; do not hand-edit.
# isa_word: bits[15:8]=first opcode byte, [7:0]=second byte.
# dispatch = ISA ground truth from the instruction table.
# pre_decoded_instr = coarse-decode formula over the byte-swapped RTL IR.
first_byte,sb_lo,sb_hi,pre_decoded_instr,dispatch
0x93,0x00,0xff,0x81,h8_addx8_imm_r8
0x94,0x00,0xff,0x81,h8_addx8_imm_r8
0x95,0x00,0xff,0x81,h8_addx8_imm_r8
0x96,0x00,0xff,0x81,h8_addx8_imm_r8
0x97,0x00,0xff,0x81,h8_addx8_imm_r8
0x98,0x00,0xff,0x81,h8_addx8_imm_r8
0x99,0x00,0xff,0x81,h8_addx8_imm_r8
0x9a,0x00,0xff,0x81,h8_addx8_imm_r8
0x9b,0x00,0xff,0x81,h8_addx8_imm_r8
0x9c,0x00,0xff,0x81,h8_addx8_imm_r8
0x9d,0x00,0xff,0x81,h8_addx8_imm_r8
0x9e,0x00,0xff,0x81,h8_addx8_imm_r8
0x9f,0x00,0xff,0x81,h8_addx8_imm_r8
0xa0,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa1,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa2,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa3,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa4,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa5,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa6,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa7,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa8,0x00,0xff,0x82,h8_cmp8_imm_r8
0xa9,0x00,0xff,0x82,h8_cmp8_imm_r8
0xaa,0x00,0xff,0x82,h8_cmp8_imm_r8
0xab,0x00,0xff,0x82,h8_cmp8_imm_r8
0xac,0x00,0xff,0x82,h8_cmp8_imm_r8
0xad,0x00,0xff,0x82,h8_cmp8_imm_r8
0xae,0x00,0xff,0x82,h8_cmp8_imm_r8
0xaf,0x00,0xff,0x82,h8_cmp8_imm_r8
0xb0,0x00,0xff,0x83,h8_subx8_imm_r8
0xb1,0x00,0xff,0x83,h8_subx8_imm_r8
0xb2,0x00,0xff,0x83,h8_subx8_imm_r8
0xb3,0x00,0xff,0x83,h8_subx8_imm_r8
0xb4,0x00,0xff,0x83,h8_subx8_imm_r8
0xb5,0x00,0xff,0x83,h8_subx8_imm_r8
0xb6,0x00,0xff,0x83,h8_subx8_imm_r8
0xb7,0x00,0xff,0x83,h8_subx8_imm_r8
0xb8,0x00,0xff,0x83,h8_subx8_imm_r8
0xb9,0x00,0xff,0x83,h8_subx8_imm_r8
0xba,0x00,0xff,0x83,h8_subx8_imm_r8
0xbb,0x00,0xff,0x83,h8_subx8_imm_r8
0xbc,0x00,0xff,0x83,h8_subx8_imm_r8
0xbd,0x00,0xff,0x83,h8_subx8_imm_r8
0xbe,0x00,0xff,0x83,h8_subx8_imm_r8
0xbf,0x00,0xff,0x83,h8_subx8_imm_r8
0xc0,0x00,0xff,0x84,h8_or8_imm_r8
0xc1,0x00,0xff,0x84,h8_or8_imm_r8
0xc2,0x00,0xff,0x84,h8_or8_imm_r8
0xc3,0x00,0xff,0x84,h8_or8_imm_r8
0xc4,0x00,0xff,0x84,h8_or8_imm_r8
0xc5,0x00,0xff,0x84,h8_or8_imm_r8
0xc6,0x00,0xff,0x84,h8_or8_imm_r8
0xc7,0x00,0xff,0x84,h8_or8_imm_r8
0xc8,0x00,0xff,0x84,h8_or8_imm_r8
0xc9,0x00,0xff,0x84,h8_or8_imm_r8
0xca,0x00,0xff,0x84,h8_or8_imm_r8
0xcb,0x00,0xff,0x84,h8_or8_imm_r8
0xcc,0x00,0xff,0x84,h8_or8_imm_r8
0xcd,0x00,0xff,0x84,h8_or8_imm_r8
0xce,0x00,0xff,0x84,h8_or8_imm_r8
0xcf,0x00,0xff,0x84,h8_or8_imm_r8
0xd0,0x00,0xff,0x85,h8_xor8_imm_r8
0xd1,0x00,0xff,0x85,h8_xor8_imm_r8
0xd2,0x00,0xff,0x85,h8_xor8_imm_r8
0xd3,0x00,0xff,0x85,h8_xor8_imm_r8
0xd4,0x00,0xff,0x85,h8_xor8_imm_r8
0xd5,0x00,0xff,0x85,h8_xor8_imm_r8
0xd6,0x00,0xff,0x85,h8_xor8_imm_r8
0xd7,0x00,0xff,0x85,h8_xor8_imm_r8
0xd8,0x00,0xff,0x85,h8_xor8_imm_r8
0xd9,0x00,0xff,0x85,h8_xor8_imm_r8
0xda,0x00,0xff,0x85,h8_xor8_imm_r8
0xdb,0x00,0xff,0x85,h8_xor8_imm_r8
0xdc,0x00,0xff,0x85,h8_xor8_imm_r8
0xdd,0x00,0xff,0x85,h8_xor8_imm_r8
0xde,0x00,0xff,0x85,h8_xor8_imm_r8
0xdf,0x00,0xff,0x85,h8_xor8_imm_r8
0xe0,0x00,0xff,0x86,h8_and8_imm_r8
0xe1,0x00,0xff,0x86,h8_and8_imm_r8
0xe2,0x00,0xff,0x86,h8_and8_imm_r8
0xe3,0x00,0xff,0x86,h8_and8_imm_r8
0xe4,0x00,0xff,0x86,h8_and8_imm_r8
0xe5,0x00,0xff,0x86,h8_and8_imm_r8
0xe6,0x00,0xff,0x86,h8_and8_imm_r8
0xe7,0x00,0xff,0x86,h8_and8_imm_r8
0xe8,0x00,0xff,0x86,h8_and8_imm_r8
0xe9,0x00,0xff,0x86,h8_and8_imm_r8
0xea,0x00,0xff,0x86,h8_and8_imm_r8
0xeb,0x00,0xff,0x86,h8_and8_imm_r8
0xec,0x00,0xff,0x86,h8_and8_imm_r8
0xed,0x00,0xff,0x86,h8_and8_imm_r8
0xee,0x00,0xff,0x86,h8_and8_imm_r8
0xef,0x00,0xff,0x86,h8_and8_imm_r8
0xf0,0x00,0xff,0x87,h8_mov8_imm_r8
0xf1,0x00,0xff,0x87,h8_mov8_imm_r8
0xf2,0x00,0xff,0x87,h8_mov8_imm_r8
0xf3,0x00,0xff,0x87,h8_mov8_imm_r8
0xf4,0x00,0xff,0x87,h8_mov8_imm_r8
0xf5,0x00,0xff,0x87,h8_mov8_imm_r8
0xf6,0x00,0xff,0x87,h8_mov8_imm_r8
0xf7,0x00,0xff,0x87,h8_mov8_imm_r8
0xf8,0x00,0xff,0x87,h8_mov8_imm_r8
0xf9,0x00,0xff,0x87,h8_mov8_imm_r8
0xfa,0x00,0xff,0x87,h8_mov8_imm_r8
0xfb,0x00,0xff,0x87,h8_mov8_imm_r8
0xfc,0x00,0xff,0x87,h8_mov8_imm_r8
0xfd,0x00,0xff,0x87,h8_mov8_imm_r8
0xfe,0x00,0xff,0x87,h8_mov8_imm_r8
0xff,0x00,0xff,0x87,h8_mov8_imm_r8
